BUS_ID;BUS_NAME;VBASEKV;TP;ARE;MODV_PU;ANGV_DEG;BASE_MVA;PG_MW;QG_MVAR;PMAX_MW;PMIN_MW;QMX_MVAR;QMN_MVAR;Ger_Units;Ger_Active_Units;PL_MW;QL_MVAR;TC;VMAX_PU;VMIN_PU;BCO_ID;B0_MVAR;ST;SHUNT_INST_IND;SHUNT_INST_CAP;Dia;Hora;Gen_Type;U_FED;REG;Latitude;Longitude;key
10.0;ANGRA1UNE001;992.0;2.0;251.0;0.936708;-5.4489;699.463;657.0;39.452;657.0;520.0;240.0;-70.0;1.0;1.0;30.4;14.72;;;;;;;;;01;00-00;UNE;RJ;Sudeste-Centro-Oeste;-23.008611;-44.454948;D_1_H_00-00
11.0;ANGRA2UNE001;992.0;2.0;251.0;0.900263;-5.0935;1477.329;1335.677;-57.79;1350.0;1082.0;600.0;-350.0;1.0;1.0;61.75;29.93;;;;;;;;;01;00-00;UNE;RJ;Sudeste-Centro-Oeste;-23.008611;-44.454948;D_1_H_00-00
12.0;LCBARRUHE005;992.0;2.0;204.0;0.973877;-1.5479;1129.77;707.89;-388.235;1048.8000000000002;750.0;420.0;-540.0;6.0;5.0;;;;;;;;;;;01;00-00;UHE;SP;Sudeste-Centro-Oeste;-20.155287;-47.284213;D_1_H_00-00
13.0;LCBARRSIN000;990.0;2.0;204.0;1.019413;-5.9153;140.0;0.0;0.0;0.0;0.0;140.0;-280.0;2.0;0.0;;;;;;;;;;;01;00-00;SIN;SP;Sudeste-Centro-Oeste;-20.155287;-47.284213;D_1_H_00-00
14.0;FUNIL-UHE003;992.0;2.0;255.0;0.959132;-17.1709;267.92400000000004;96.366;-34.89;222.0;90.0;150.0;-150.0;3.0;2.0;1.083;0.0;;;;;;;;;01;00-00;UHE;RJ;Sudeste-Centro-Oeste;-22.526586;-44.572512;D_1_H_00-00
16.0;FURNASUHE006;992.0;2.0;352.0;0.998166;-6.6702;1280.096;165.0;-82.544;1216.0;808.0;400.0;-400.0;8.0;2.0;;;;;;;;;;;01;00-00;UHE;MG;Sudeste-Centro-Oeste;-20.66732;-46.319262;D_1_H_00-00
17.0;FURNASSIN001;990.0;2.0;352.0;0.998166;-10.3593;400.0;0.0;-43.807;0.0;0.0;400.0;-800.0;5.0;1.0;3.8;0.0;;;;;;;;;01;00-00;SIN;MG;Sudeste-Centro-Oeste;-20.66732;-46.319262;D_1_H_00-00
18.0;ITUMBIUHE005;992.0;2.0;351.0;0.968266;9.2721;2357.6279999999997;553.62;-111.126;2280.0;1206.0;600.0;-546.0;6.0;2.0;;;;;;;;;;;01;00-00;UHE;MG;Sudeste-Centro-Oeste;-18.407529;-49.112968;D_1_H_00-00
19.0;ITUMBISIN000;990.0;2.0;351.0;0.968266;2.6912;600.0;0.0;-142.956;0.0;0.0;600.0;-546.0;6.0;2.0;;;;;;;;;;;01;00-00;SIN;MG;Sudeste-Centro-Oeste;-18.407529;-49.112968;D_1_H_00-00
20.0;MARIMBUHE006;992.0;2.0;351.0;1.004811;-3.281;1619.8;162.727;-61.285;1488.0;888.0;640.0;-640.0;8.0;1.0;;;;;;;;;;;01;00-00;UHE;MG;Sudeste-Centro-Oeste;-20.301198;-49.20339;D_1_H_00-00
21.0;MANSO-UHE004;992.0;2.0;472.0;0.93062;6.9437;231.76;63.275999999999996;-56.955;216.0;112.0;84.0;-80.0;4.0;3.0;;;;;;;;;;;01;00-00;UHE;MT;Sudeste-Centro-Oeste;-14.875085;-55.788375;D_1_H_00-00
22.0;M.MORAUHE005;992.0;2.0;352.0;1.005836;-2.2573;336.48;201.725;-68.77;312.0;216.0;126.0;-120.0;6.0;5.0;1.71;0.0;;;;;;;;;01;00-00;UHE;MG;Sudeste-Centro-Oeste;-20.286561;-47.069916;D_1_H_00-00
23.0;C.BRAVSIN000;990.0;2.0;513.0;1.025277;25.2923;156.0;0.0;0.0;0.0;0.0;156.0;-192.0;2.0;0.0;;;;;;;;;;;01;00-00;SIN;GO;Sudeste-Centro-Oeste;-13.3993837;-48.1405438;D_1_H_00-00
24.0;M.MORBUHE003;992.0;2.0;208.0;0.943319;-1.7335;190.38;180.0;-18.504;180.0;92.0;62.0;-24.0;4.0;4.0;1.14;0.0;;;;;;;;;01;00-00;UHE;MG;Sudeste-Centro-Oeste;-22.505;-48.545;D_1_H_00-00
27.0;CPAUL2-SP500;500.0;0.0;202.0;1.029049;-18.8558;;;;;;;;;;;;1.0;1.1;1.0;27.0;-136.0;1.0;-136.0;0.0;01;00-00;;SP;Sudeste-Centro-Oeste;-22.632745;-45.035694;D_1_H_00-00
28.0;PCOLOMUHE003;992.0;2.0;208.0;0.986239;-10.4901;342.904;54.499;-19.353;328.0;160.0;100.0;-100.0;4.0;1.0;1.473;0.0;;;;;;;;;01;00-00;UHE;MG;Sudeste-Centro-Oeste;-22.505;-48.545;D_1_H_00-00
30.0;SCRU19UTE000;992.0;2.0;254.0;0.961574;-19.585;100.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;;;;;;;01;00-00;UTE;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
31.0;SCRU13UTE000;992.0;2.0;254.0;0.920166;-19.585;100.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;;;;;;;;01;00-00;UTE;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
32.0;SCRU16UTE000;992.0;2.0;254.0;0.961574;-19.585;413.4;0.0;0.0;350.0;120.0;220.0;-180.0;2.0;0.0;;;;;;;;;;;01;00-00;UTE;RJ;Sudeste-Centro-Oeste;-22.91709;-43.750502;D_1_H_00-00
35.0;CORUMBUHE003;992.0;2.0;512.0;0.951398;8.798;421.38;85.956;-70.192;381.0;117.0;180.0;-180.0;3.0;2.0;;;;;;;;;;;01;00-00;UHE;GO;Sudeste-Centro-Oeste;-17.987029;-48.54114;D_1_H_00-00
36.0;S.MESAUHE003;992.0;2.0;511.0;0.985557;28.301;1348.332;261.037;27.111;1260.0;720.0;480.0;-480.0;3.0;1.0;;;;;;;;;;;01;00-00;UHE;GO;Sudeste-Centro-Oeste;-13.826187;-48.300833;D_1_H_00-00
37.0;S.MESASIN000;990.0;2.0;511.0;0.98091;24.4195;861.0;0.0;0.0;0.0;0.0;861.0;-1245.0;3.0;0.0;;;;;;;;;;;01;00-00;SIN;GO;Sudeste-Centro-Oeste;-13.826187;-48.300833;D_1_H_00-00
38.0;GRAJA2SIN001;13.8;2.0;251.0;1.065763;-21.0326;200.0;0.0;4.357;0.0;0.0;200.0;-120.0;1.0;1.0;;;;;;;;;;;01;00-00;SIN;RJ;Sudeste-Centro-Oeste;-22.928023;-43.264827;D_1_H_00-00
41.0;VITOR2SIN001;990.0;2.0;302.0;0.984482;-3.4336;60.0;0.0;-9.451;0.0;0.0;60.0;-30.0;1.0;1.0;;;;;;;;;;;01;00-00;SIN;PR;Sul;-20.194191;-40.294523;D_1_H_00-00
44.0;GRAJA1SIN001;13.8;2.0;251.0;1.066001;-20.9092;200.0;0.0;6.208;0.0;0.0;200.0;-120.0;1.0;1.0;;;;;;;;;;;01;00-00;SIN;RJ;Sudeste-Centro-Oeste;-22.928023;-43.264827;D_1_H_00-00
47.0;VITORISIN001;990.0;2.0;302.0;0.985828;-3.4336;60.0;0.0;-9.365;0.0;0.0;60.0;-30.0;1.0;1.0;;;;;;;;;;;01;00-00;SIN;PR;Sul;-20.194191;-40.294523;D_1_H_00-00
48.0;IBIUNASIN004;20.0;2.0;204.0;1.102938;-30.3096;1200.0;0.0;1110.62;0.0;0.0;1200.0;-720.0;4.0;4.0;;;;;;;;;;;01;00-00;SIN;SP;Sudeste-Centro-Oeste;-23.665017;-47.101719;D_1_H_00-00
50.0;TPRETOSIN001;20.0;2.0;201.0;0.901467;-31.0257;300.0;0.0;-165.007;0.0;0.0;300.0;-180.0;1.0;1.0;;;;;;;;;;;01;00-00;SIN;SP;Sudeste-Centro-Oeste;-23.710734;-46.273544;D_1_H_00-00
52.0;P.ACU--RJ345;345.0;0.0;252.0;1.005215;5.7193;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-21.83721694;-41.04198255;D_1_H_00-00
53.0;GNA1G-UTE003;20.0;2.0;252.0;0.993176;11.0074;1068.003;848.0369999999999;-71.043;872.0999999999999;106.80000000000001;616.5;-292.79999999999995;3.0;3.0;;;;;;;;;;;01;00-00;UTE;RJ;Sudeste-Centro-Oeste;-21.83721694;-41.04198255;D_1_H_00-00
54.0;GNA1V-UTE001;20.0;2.0;252.0;1.005215;5.7193;559.355;0.0;0.0;477.7;0.0;291.0;-241.0;1.0;0.0;;;;;;;;;;;01;00-00;UTE;RJ;Sudeste-Centro-Oeste;-21.83721694;-41.04198255;D_1_H_00-00
56.0;IVAIP3-PR069;69.0;0.0;201.0;0.897453;-26.6998;;;;;;;;;;;;1.0;1.2;0.8;56.0;-180.0;1.0;-360.0;0.0;01;00-00;;PR;Sul;-24.42917329;-51.67775928;D_1_H_00-00
57.0;IVAIP2-PR069;69.0;0.0;201.0;0.970285;-26.7508;;;;;;;;;;;;1.0;1.2;0.8;57.0;-360.0;1.0;-540.0;0.0;01;00-00;;PR;Sul;-24.42917329;-51.67775928;D_1_H_00-00
60.0;F.IGUA-PR765;765.0;0.0;201.0;0.964479;-21.2813;;;;;;;;;;;;;;;;;;;;01;00-00;;PR;Sul;-25.466866;-54.541335;D_1_H_00-00
61.0;FOZ60--PR500;500.0;0.0;101.0;0.993938;-20.0684;;;;;;;;;;;;;;;;;;;;01;00-00;;PR;Sul;-25.466866;-54.541335;D_1_H_00-00
65.0;IVAIPO-PR765;765.0;0.0;201.0;1.031598;-25.3169;;;;;;;;;;;;1.0;1.046;0.9;65.0;-330.0;1.0;-330.0;0.0;01;00-00;;PR;Sul;-24.42917329;-51.67775928;D_1_H_00-00
66.0;IVAIPA-PR525;525.0;0.0;101.0;1.007953;-26.4643;;;;;;;;;;;;;;;;;;;;01;00-00;;PR;Sul;-24.42917329;-51.67775928;D_1_H_00-00
67.0;IVAIP1-PR069;69.0;0.0;201.0;0.92504;-26.7565;;;;;;;;;;0.228;0.0;1.0;1.2;0.8;67.0;-360.0;1.0;-540.0;0.0;01;00-00;;PR;Sul;-24.42917329;-51.67775928;D_1_H_00-00
72.0;ITABER-SP765;765.0;0.0;201.0;1.041178;-26.3609;;;;;;;;;;;;1.0;1.046;0.9;72.0;-660.0;1.0;-990.0;0.0;01;00-00;;SP;Sudeste-Centro-Oeste;-23.951492;-49.132143;D_1_H_00-00
76.0;TPRETO-SP765;765.0;0.0;201.0;0.993314;-27.5527;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.710734;-46.273544;D_1_H_00-00
77.0;TPRETO-SP500;500.0;0.0;202.0;1.0304;-25.6539;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.710734;-46.273544;D_1_H_00-00
78.0;TPRETO-SP345;345.0;0.0;204.0;1.02318;-30.6479;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.710734;-46.273544;D_1_H_00-00
79.0;TPRETO-SP069;69.0;0.0;201.0;0.890157;-25.5586;;;;;;;;;;;;1.0;1.2;0.8;79.0;0.0;1.0;-360.0;0.0;01;00-00;;SP;Sudeste-Centro-Oeste;-23.710734;-46.273544;D_1_H_00-00
82.0;TPRET2-SP345;345.0;0.0;204.0;0.999705;-30.2285;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.710734;-46.273544;D_1_H_00-00
84.0;RESEN2-RJ138;138.0;0.0;255.0;0.995721;-20.5005;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.526586;-44.572512;D_1_H_00-00
85.0;FOZ50--PR500;500.0;0.0;241.0;0.863102;-9.4281;;;;;;;;;;57.0;0.0;0.0;1.1;0.95;85.0;0.0;1.0;0.0;1540.0;01;00-00;;PR;Sul;-25.426667;-54.592914;D_1_H_00-00
86.0;IBIUNA-SP345;345.0;0.0;204.0;1.044368;-30.3096;;;;;;;;;;;;0.0;1.05;0.95;86.0;0.0;1.0;0.0;3188.2;01;00-00;;SP;Sudeste-Centro-Oeste;-23.665017;-47.101719;D_1_H_00-00
87.0;RESEND-RJ500;500.0;0.0;251.0;1.024992;-18.7524;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.499167;-44.513889;D_1_H_00-00
90.0;VIANA--ES345;345.0;0.0;302.0;1.01755;-1.1917;;;;;;;;;;;;;;;;;;;;01;00-00;;ES;Sudeste-Centro-Oeste;-20.363333;-40.428889;D_1_H_00-00
91.0;VIANT1-ES013;13.8;0.0;302.0;1.010855;-3.0739;;;;;;;;;;;;;;;;;;;;01;00-00;;ES;Sudeste-Centro-Oeste;-20.363333;-40.428889;D_1_H_00-00
95.0;VIANT2-ES013;13.8;0.0;302.0;1.010831;-3.0785;;;;;;;;;;;;;;;;;;;;01;00-00;;ES;Sudeste-Centro-Oeste;-20.363333;-40.428889;D_1_H_00-00
96.0;VIANT3-ES013;13.8;0.0;302.0;1.010672;-3.089;;;;;;;;;;;;;;;;;;;;01;00-00;;ES;Sudeste-Centro-Oeste;-20.363333;-40.428889;D_1_H_00-00
100.0;MARIMB-MG500;500.0;0.0;351.0;1.048366;-8.8836;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-20.301198;-49.20339;D_1_H_00-00
101.0;ARARAQ-SP500;500.0;0.0;202.0;1.059237;-20.1306;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-21.774272;-48.253983;D_1_H_00-00
102.0;P.CALD-MG500;500.0;0.0;351.0;1.047978;-18.3654;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-21.797915;-46.612409;D_1_H_00-00
103.0;CAMPIN-SP500;500.0;0.0;202.0;1.054665;-25.6643;;;;;;;;;;;;1.0;1.1;0.95;103.0;-136.0;1.0;-248.5;0.0;01;00-00;;SP;Sudeste-Centro-Oeste;-22.774201;-47.004621;D_1_H_00-00
104.0;C.PAUL-SP500;500.0;0.0;202.0;1.028518;-18.9228;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-22.632745;-45.035694;D_1_H_00-00
105.0;ANGRA--RJ500;500.0;0.0;251.0;1.011341;-13.5012;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-23.008611;-44.454948;D_1_H_00-00
106.0;ADRIAN-RJ500;500.0;0.0;251.0;1.02452;-17.5446;;;;;;;;;;;;1.0;1.1;1.0;106.0;-136.0;1.0;-272.0;0.0;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.665712;-43.476932;D_1_H_00-00
107.0;GRAJAU-RJ500;500.0;0.0;251.0;1.022501;-18.8525;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.928023;-43.264827;D_1_H_00-00
108.0;S.JOSE-RJ500;500.0;0.0;251.0;1.020096;-18.1809;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.748756;-43.332291;D_1_H_00-00
109.0;BYPSAD-RJ500;500.0;0.0;251.0;1.024471;-17.556;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.720833;-43.642222;D_1_H_00-00
116.0;IMBTAP-RJ138;138.0;0.0;256.0;0.998474;-16.4958;;;;;;;;;;;;;;;;;;;;01;00-00;;RJ;Sudeste-Centro-Oeste;-22.71666667;-43.23833333;D_1_H_00-00
119.0;BANDT4-GO013;13.8;0.0;512.0;0.990198;3.4239;;;;;;;;;;;;;;;;;;;;01;00-00;;GO;Sudeste-Centro-Oeste;-16.793335;-49.233715;D_1_H_00-00
120.0;P.CALD-MG345;345.0;0.0;352.0;0.999563;-20.0706;;;;;;;;;;;;1.0;1.05;0.95;120.0;0.0;1.0;0.0;150.0;01;00-00;;MG;Sudeste-Centro-Oeste;-21.797915;-46.612409;D_1_H_00-00
122.0;IBIUNA-SP500;500.0;0.0;202.0;1.099638;-29.4793;;;;;;;;;;;;1.0;1.1;0.95;122.0;-180.0;1.0;-180.0;0.0;01;00-00;;SP;Sudeste-Centro-Oeste;-23.665017;-47.101719;D_1_H_00-00
123.0;CAMPIN-SP345;345.0;0.0;204.0;1.002928;-27.6031;;;;;;;;;;;;1.0;1.05;0.95;123.0;0.0;1.0;0.0;200.0;01;00-00;;SP;Sudeste-Centro-Oeste;-22.774201;-47.004621;D_1_H_00-00
126.0;GUARUL-SP345;345.0;0.0;204.0;1.022164;-31.9657;;;;;;;;;;;;1.0;1.05;0.95;126.0;0.0;1.0;0.0;250.0;01;00-00;;SP;Sudeste-Centro-Oeste;-23.442541;-46.585484;D_1_H_00-00
129.0;MOGI---SP345;345.0;0.0;204.0;0.999918;-30.9618;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-23.503735;-46.169846;D_1_H_00-00
131.0;M.MORA-MG345;345.0;0.0;352.0;1.039881;-7.119;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-20.286561;-47.069916;D_1_H_00-00
134.0;LCBARR-SP345;345.0;0.0;204.0;1.018394;-5.9153;;;;;;;;;;;;;;;;;;;;01;00-00;;SP;Sudeste-Centro-Oeste;-20.155287;-47.284213;D_1_H_00-00
136.0;FURNAS-MG345;345.0;0.0;352.0;1.031876;-10.197;;;;;;;;;;;;;;;;;;;;01;00-00;;MG;Sudeste-Centro-Oeste;-20.66732;-46.319262;D_1_H_00-00
