BUS_ID,BUS_NAME,VBASEKV,REG,U_FED
10.0,ANGRA1UNE001,992.0,Sudeste-Centro-Oeste,RJ
11.0,ANGRA2UNE001,992.0,Sudeste-Centro-Oeste,RJ
12.0,LCBARRUHE004,992.0,Sudeste-Centro-Oeste,SP
13.0,LCBARRSIN002,990.0,Sudeste-Centro-Oeste,SP
14.0,FUNIL-UHE002,992.0,Sudeste-Centro-Oeste,RJ
16.0,FURNASUHE005,992.0,Sudeste-Centro-Oeste,MG
17.0,FURNASSIN003,990.0,Sudeste-Centro-Oeste,MG
18.0,ITUMBIUHE004,992.0,Sudeste-Centro-Oeste,MG
19.0,ITUMBISIN002,990.0,Sudeste-Centro-Oeste,MG
20.0,MARIMBUHE005,992.0,Sudeste-Centro-Oeste,MG
21.0,MANSO-UHE002,992.0,Sudeste-Centro-Oeste,MT
22.0,M.MORAUHE004,992.0,Sudeste-Centro-Oeste,MG
23.0,CBRAV-SIN000,990.0,Sudeste-Centro-Oeste,GO
24.0,M.MORBUHE003,992.0,Sudeste-Centro-Oeste,MG
27.0,CPAUL2-SP500,500.0,Sudeste-Centro-Oeste,SP
28.0,PCOLOMUHE003,992.0,Sudeste-Centro-Oeste,MG
30.0,SCRU19UTE000,992.0,Sudeste-Centro-Oeste,RJ
31.0,SCRU13UTE000,992.0,Sudeste-Centro-Oeste,RJ
32.0,SCRU16UTE000,992.0,Sudeste-Centro-Oeste,RJ
35.0,CORUMBUHE002,992.0,Sudeste-Centro-Oeste,GO
36.0,S.MESAUHE003,992.0,Sudeste-Centro-Oeste,GO
37.0,S.MESASIN000,990.0,Sudeste-Centro-Oeste,GO
38.0,GRAJA2SIN001,13.8,Sudeste-Centro-Oeste,RJ
41.0,VITOR2SIN001,990.0,Sul,PR
44.0,GRAJA1SIN001,13.8,Sudeste-Centro-Oeste,RJ
46.0,CAMPO-CER015,1.0,Sudeste-Centro-Oeste,RJ
47.0,VITOR1SIN001,990.0,Sul,PR
48.0,IBIUNASIN004,20.0,Sudeste-Centro-Oeste,SP
50.0,TPRETOSIN001,20.0,Sudeste-Centro-Oeste,SP
52.0,P.ACU--RJ345,345.0,Sudeste-Centro-Oeste,RJ
53.0,GNAIG-UTE000,20.0,Sudeste-Centro-Oeste,RJ
54.0,GNAIV-UTE000,20.0,Sudeste-Centro-Oeste,RJ
56.0,IVAIP3-PR069,69.0,Sul,PR
57.0,IVAIP2-PR069,69.0,Sul,PR
60.0,F.IGUA-PR765,765.0,Sul,PR
61.0,FZ-500-PR500,500.0,Sul,PR
62.0,IV-FZ1CAP765,765.0,Norte,AP
63.0,IV-FZ2CAP765,765.0,Norte,AP
64.0,IV-FZ3CAP765,765.0,Norte,AP
65.0,IVAIPO-PR765,765.0,Sul,PR
66.0,IVAIPA-PR525,525.0,Sul,PR
67.0,IVAIP1-PR069,69.0,Sul,PR
69.0,IV-IT1CAP765,765.0,Norte,AP
70.0,IV-IT2CAP765,765.0,Norte,AP
71.0,IV-IT3CAP765,765.0,Norte,AP
72.0,ITABER-SP765,765.0,Sudeste-Centro-Oeste,SP
73.0,IT-TP1CAP765,765.0,Norte,AP
74.0,IT-TP2CAP765,765.0,Norte,AP
75.0,IT-TP3CAP765,765.0,Norte,AP
76.0,TPRETO-SP765,765.0,Sudeste-Centro-Oeste,SP
77.0,TPRETO-SP500,500.0,Sudeste-Centro-Oeste,SP
78.0,TPRETO-SP345,345.0,Sudeste-Centro-Oeste,SP
79.0,TPRETO-SP069,69.0,Sudeste-Centro-Oeste,SP
82.0,TPRET2-SP345,345.0,Sudeste-Centro-Oeste,SP
84.0,RESEN2-RJ138,138.0,Sudeste-Centro-Oeste,RJ
85.0,FOZ500-PR500,500.0,Sul,PR
86.0,IBIUNA-SP345,345.0,Sudeste-Centro-Oeste,SP
87.0,RESEND-RJ500,500.0,Sudeste-Centro-Oeste,RJ
90.0,VIANA--ES345,345.0,Sudeste-Centro-Oeste,ES
91.0,VIANT1-ES013,13.8,Sudeste-Centro-Oeste,ES
92.0,SB-SM1CAP500,500.0,Norte,AP
93.0,SB-SM2CAP500,500.0,Norte,AP
94.0,SB-SM3CAP500,500.0,Norte,AP
95.0,VIANT2-ES013,13.8,Sudeste-Centro-Oeste,ES
96.0,VIANT3-ES013,13.8,Sudeste-Centro-Oeste,ES
99.0,AS-AR1-SP500,500.0,Sudeste-Centro-Oeste,SP
100.0,MARIMB-MG500,500.0,Sudeste-Centro-Oeste,MG
101.0,ARARAQ-SP500,500.0,Sudeste-Centro-Oeste,SP
102.0,P.CALD-MG500,500.0,Sudeste-Centro-Oeste,MG
103.0,CAMPIN-SP500,500.0,Sudeste-Centro-Oeste,SP
104.0,C.PAUL-SP500,500.0,Sudeste-Centro-Oeste,SP
105.0,ANGRA--RJ500,500.0,Sudeste-Centro-Oeste,RJ
106.0,ADRIAN-RJ500,500.0,Sudeste-Centro-Oeste,RJ
107.0,GRAJAU-RJ500,500.0,Sudeste-Centro-Oeste,RJ
108.0,S.JOSE-RJ500,500.0,Sudeste-Centro-Oeste,RJ
109.0,BYPSAD-RJ500,500.0,Sudeste-Centro-Oeste,RJ
112.0,BA-IB1-PR500,500.0,Sul,PR
113.0,BA-IB2-PR500,500.0,Sul,PR
114.0,BA-IT1-PR500,500.0,Sul,PR
115.0,BA-IT1CAP500,500.0,Norte,AP
116.0,IMBTAP-RJ138,138.0,Sudeste-Centro-Oeste,RJ
119.0,BANDT4-GO013,13.8,Sudeste-Centro-Oeste,GO
120.0,P.CALD-MG345,345.0,Sudeste-Centro-Oeste,MG
122.0,IBIUNA-SP500,500.0,Sudeste-Centro-Oeste,SP
123.0,CAMPIN-SP345,345.0,Sudeste-Centro-Oeste,SP
125.0,IB-BA1CAP500,500.0,Norte,AP
126.0,GUARUL-SP345,345.0,Sudeste-Centro-Oeste,SP
127.0,MO-RL1-SP345,345.0,Sudeste-Centro-Oeste,SP
128.0,MO-RL2-SP345,345.0,Sudeste-Centro-Oeste,SP
129.0,MOGI---SP345,345.0,Sudeste-Centro-Oeste,SP
130.0,IB-BA2CAP500,500.0,,
131.0,M.MORA-MG345,345.0,Sudeste-Centro-Oeste,MG
134.0,LCBARR-SP345,345.0,Sudeste-Centro-Oeste,SP
136.0,FURNAS-MG345,345.0,Sudeste-Centro-Oeste,MG
138.0,ITUTIN-MG345,345.0,Sudeste-Centro-Oeste,MG
140.0,ADRIAN-RJ345,345.0,Sudeste-Centro-Oeste,RJ
144.0,JACARE-RJ345,345.0,Sudeste-Centro-Oeste,RJ
147.0,CAMPOS-RJ345,345.0,Sudeste-Centro-Oeste,RJ
149.0,VITORI-ES345,345.0,Sudeste-Centro-Oeste,ES
154.0,VITAT2-ES013,13.8,Sudeste-Centro-Oeste,ES
155.0,VITAT3-ES013,13.8,Sudeste-Centro-Oeste,ES
156.0,VITAT4-ES013,13.8,Sudeste-Centro-Oeste,ES
159.0,JA-R30-RJ013,13.8,,
160.0,JB-R60-RJ013,13.8,,
161.0,MO-FCE-SP230,230.0,Sudeste-Centro-Oeste,SP
163.0,CAMPI1-SP013,13.8,Sudeste-Centro-Oeste,SP
165.0,P.CAL2-MG013,13.8,Sudeste-Centro-Oeste,MG
167.0,JA-R60-RJ013,13.8,Sudeste-Centro-Oeste,RJ
169.0,SJOSE2-RJ138,138.0,Sudeste-Centro-Oeste,RJ
170.0,P.CALD-MG138,138.0,Sudeste-Centro-Oeste,MG
171.0,CAMPI1-SP138,138.0,Sudeste-Centro-Oeste,SP
172.0,IMBARE-RJ138,138.0,Sudeste-Centro-Oeste,RJ
173.0,ADRIAN-RJ138,138.0,Sudeste-Centro-Oeste,RJ
174.0,R.LEAO-RJ138,138.0,Sudeste-Centro-Oeste,RJ
175.0,CAMPOS-RJ138,138.0,Sudeste-Centro-Oeste,RJ
177.0,VITOR1-ES138,138.0,Sudeste-Centro-Oeste,ES
178.0,GRAJAU-RJ138,138.0,Sudeste-Centro-Oeste,RJ
180.0,JACAR2-RJ138,138.0,Sudeste-Centro-Oeste,RJ
181.0,ANGDEF-RJ138,138.0,Sudeste-Centro-Oeste,RJ
182.0,FUNIL--RJ138,138.0,Sudeste-Centro-Oeste,RJ
183.0,C.PAUL-SP138,138.0,Sudeste-Centro-Oeste,SP
184.0,S.CRUZ-RJ138,138.0,Sudeste-Centro-Oeste,RJ
185.0,ANGRA--RJ138,138.0,Sudeste-Centro-Oeste,RJ
186.0,CAMP54-SP013,13.8,Sudeste-Centro-Oeste,SP
187.0,M.MORA-MG138,138.0,Sudeste-Centro-Oeste,MG
190.0,P.COL--MG138,138.0,Sudeste-Centro-Oeste,MG
192.0,CAMPO1-RJ013,13.8,Sudeste-Centro-Oeste,RJ
194.0,ADRT55-RJ013,13.8,Sudeste-Centro-Oeste,RJ
195.0,ADRT53-RJ013,13.8,Sudeste-Centro-Oeste,RJ
196.0,CAMP51-SP013,13.8,Sudeste-Centro-Oeste,SP
197.0,ADRT51-RJ013,13.8,Sudeste-Centro-Oeste,RJ
198.0,PCALAT-MG013,13.8,Sudeste-Centro-Oeste,MG
199.0,VITAT1-ES013,13.8,Sudeste-Centro-Oeste,ES
201.0,RSIL-1UTE000,992.0,Sudeste-Centro-Oeste,RJ
203.0,RSIL-2UTE000,992.0,Sudeste-Centro-Oeste,RJ
204.0,ADRT1B-RJ013,13.8,Sudeste-Centro-Oeste,RJ
205.0,ADRT2A-RJ013,13.8,Sudeste-Centro-Oeste,RJ
206.0,ADRT2B-RJ013,13.8,Sudeste-Centro-Oeste,RJ
208.0,BGERT1-DF013,13.8,Sudeste-Centro-Oeste,DF
209.0,ADRT1A-RJ013,13.8,Sudeste-Centro-Oeste,RJ
210.0,ITUMBI-MG500,500.0,Sudeste-Centro-Oeste,MG
212.0,CAMPO2-RJ013,13.8,Sudeste-Centro-Oeste,RJ
213.0,MARIMB-MG345,345.0,Sudeste-Centro-Oeste,MG
216.0,P.COL--MG345,345.0,Sudeste-Centro-Oeste,MG
217.0,ITUMBI-MG345,345.0,Sudeste-Centro-Oeste,MG
218.0,BANDEI-GO345,345.0,Sudeste-Centro-Oeste,GO
219.0,B.SUL--DF345,345.0,Sudeste-Centro-Oeste,DF
220.0,CORUMB-GO345,345.0,Sudeste-Centro-Oeste,GO
221.0,B.GERA-DF034,34.5,Sudeste-Centro-Oeste,DF
225.0,ITUMBI-MG230,230.0,Sudeste-Centro-Oeste,MG
226.0,BANDEI-GO230,230.0,Sudeste-Centro-Oeste,GO
227.0,B.GERA-DF230,230.0,Sudeste-Centro-Oeste,DF
228.0,B.SUL--DF230,230.0,Sudeste-Centro-Oeste,DF
229.0,B.ALTO-GO230,230.0,Sudeste-Centro-Oeste,GO
230.0,S.MESA-GO230,230.0,Sudeste-Centro-Oeste,GO
231.0,R.VERD-GO230,230.0,Sudeste-Centro-Oeste,GO
232.0,BSULT6-DF013,13.8,Sudeste-Centro-Oeste,DF
233.0,SAMAMB-DF500,500.0,Sudeste-Centro-Oeste,DF
234.0,SAMAMB-DF345,345.0,Sudeste-Centro-Oeste,DF
235.0,S.MESA-GO500,500.0,Sudeste-Centro-Oeste,GO
236.0,B.SUL--DF138,138.0,Sudeste-Centro-Oeste,DF
237.0,SAMAMB-DF138,138.0,Sudeste-Centro-Oeste,DF
238.0,R.VERD-GO138,138.0,Sudeste-Centro-Oeste,GO
239.0,S.MESA-GO138,138.0,Sudeste-Centro-Oeste,GO
241.0,RVERT1-GO013,13.8,Sudeste-Centro-Oeste,GO
242.0,BANDT1-GO013,13.8,Sudeste-Centro-Oeste,GO
243.0,BANDT2-GO013,13.8,Sudeste-Centro-Oeste,GO
245.0,BSULT7-DF013,13.8,Sudeste-Centro-Oeste,DF
246.0,MARIMB-MG013,13.8,Sudeste-Centro-Oeste,MG
247.0,C.BRAV-GO138,138.0,Sudeste-Centro-Oeste,GO
248.0,RBOIS-TAP138,138.0,Norte,AP
249.0,RCLARO-GO138,138.0,Sudeste-Centro-Oeste,GO
250.0,NPECA2UHE002,992.0,Sudeste-Centro-Oeste,RJ
251.0,N.PECA-RJ138,138.0,Sudeste-Centro-Oeste,RJ
252.0,N.PECA-RJ230,230.0,Sudeste-Centro-Oeste,RJ
253.0,FONTE2UHE002,992.0,Sudeste-Centro-Oeste,RJ
