BFR_ID BTO_ID CI RL_PU XL_PU B_MVAR L1_MVA L2_MVA L3_MVA BFR_LB BTO_LB LEN_KM ARE OWN ZE_R ZE_X ZE_C BR_NAME BUS_CTR1 CTR1 BUS_CTR2 CTR2 BFR_SH1 GSHT_F1 BSHT_F1 BTO_SH1 GSHT_T1 BSHT_T1 BFR_SH2 GSHT_F2 BSHT_F2 BTO_SH2 GSHT_T2 BSHT_T2 BFR_SH3 GSHT_F3 BSHT_F3 BTO_SH3 GSHT_T3 BSHT_T3
27.0 87.0 1.0 0.00051 0.00782 66.5 1855.0 2337.0 2337.0 1.0 1.0 0.0 202.0 0.0 0.00153 0.02346 0.0 CPAUL2-SP500-RESEND-R 27.0 1.0 0.0 0.0 1.0 0.0 -1.36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
27.0 1503.0 1.0 0.00052 0.00792 66.5 1855.0 2337.0 2337.0 1.0 1.0 0.0 202.0 0.0 0.00156 0.02376 0.0 CPAUL2-SP500-ITAJU3-M 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
27.0 3010.0 1.0 0.00189 0.03158 709.66 2442.0 3464.0 3464.0 1.0 1.0 0.0 202.0 0.0 0.00567 0.09474 0.0 CPAUL2-SP500-ESTREI-M 104.0 0.0 3010.0 0.0 1.0 0.0 -2.4 1.0 0.0 -2.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
27.0 3010.0 2.0 0.00189 0.03158 709.66 2442.0 3464.0 3464.0 1.0 1.0 0.0 202.0 0.0 0.00567 0.09474 0.0 CPAUL2-SP500-ESTREI-M 27.0 0.0 3010.0 0.0 1.0 0.0 -2.4 1.0 0.0 -2.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
27.0 3383.0 1.0 0.00014 0.00205 30.353 2728.0 2728.0 2728.0 1.0 1.0 0.0 202.0 0.0 0.00042 0.00615 0.0 CPAUL2-SP500-LORENA-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
52.0 147.0 1.0 0.0016 0.01646 27.714 1275.0 1492.0 1492.0 1.0 1.0 0.0 252.0 0.0 0.0048 0.04938 0.0 P.ACU--RJ345-CAMPOS-R 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
52.0 147.0 2.0 0.0016 0.01646 27.714 1275.0 1492.0 1492.0 1.0 1.0 0.0 252.0 0.0 0.0048 0.04938 0.0 P.ACU--RJ345-CAMPOS-R 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 62.0 1.0 0.00076 0.0185 927.8 3684.0 4173.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00228 0.0555 0.0 F.IGUA-PR765-IV-FZ1CA 60.0 0.0 62.0 0.0 1.0 0.0 -3.3 1.0 0.0 -1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 63.0 2.0 0.00076 0.0185 929.1 3684.0 4173.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00228 0.0555 0.0 F.IGUA-PR765-IV-FZ2CA 60.0 0.0 63.0 0.0 1.0 0.0 -3.3 1.0 0.0 -1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 64.0 3.0 0.00082 0.01899 954.57 3684.0 4173.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00246 0.05697 0.0 F.IGUA-PR765-IV-FZ3CA 60.0 0.0 64.0 0.0 1.0 0.0 -3.3 1.0 0.0 -1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61.0 43421.0 1.0 0.00116 0.01999 245.8 2910.0 3624.0 3624.0 1.0 1.0 0.0 101.0 0.0 0.00348 0.05997 0.0 FOZ60--PR500-GU-FZ1-P 0.0 0.0 43421.0 0.0 0.0 0.0 0.0 1.0 0.0 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61.0 43422.0 2.0 0.00116 0.01999 245.8 2910.0 3624.0 3624.0 1.0 1.0 0.0 101.0 0.0 0.00348 0.05997 0.0 FOZ60--PR500-GU-FZ2-P 0.0 0.0 43422.0 0.0 0.0 0.0 0.0 1.0 0.0 -1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.0 72.0 1.0 0.00064 0.0153 760.0 4133.0 4174.0 4133.0 1.0 1.0 0.0 201.0 0.0 0.00192 0.0459 0.0 IV-IT1CAP765-ITABER-S 69.0 0.0 72.0 0.0 1.0 0.0 -3.3 1.0 0.0 -3.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.0 70.0 2.0 0.00063 0.0153 755.7 4133.0 4174.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00189 0.0459 0.0 ITABER-SP765-IV-IT2CA 72.0 0.0 70.0 0.0 1.0 0.0 -3.3 1.0 0.0 -3.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.0 71.0 3.0 0.00064 0.0154 760.0 4133.0 4174.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00192 0.0462 0.0 ITABER-SP765-IV-IT3CA 72.0 0.0 71.0 0.0 1.0 0.0 -3.3 1.0 0.0 -3.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.0 76.0 1.0 0.00072 0.0175 877.5 4133.0 4174.0 4133.0 1.0 1.0 0.0 201.0 0.0 0.00216 0.0525 0.0 IT-TP1CAP765-TPRETO-S 0.0 0.0 76.0 0.0 0.0 0.0 0.0 1.0 0.0 -3.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.0 74.0 2.0 0.00072 0.0175 873.0 4133.0 4174.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00216 0.0525 0.0 TPRETO-SP765-IT-TP2CA 76.0 0.0 0.0 0.0 1.0 0.0 -3.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.0 75.0 3.0 0.00078 0.0179 898.2 4133.0 4174.0 3684.0 1.0 1.0 0.0 201.0 0.0 0.00234 0.0537 0.0 TPRETO-SP765-IT-TP3CA 76.0 0.0 0.0 0.0 1.0 0.0 -3.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.0 104.0 1.0 0.00167 0.0254 216.6 1855.0 2337.0 1855.0 1.0 1.0 0.0 202.0 0.0 0.00501 0.0762 0.0 TPRETO-SP500-C.PAUL-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.0 598.0 1.0 0.00106 0.01441 133.4 1855.0 2252.0 1855.0 1.0 1.0 0.0 202.0 0.0 0.00318 0.04323 0.0 TPRETO-SP500-TAUBAT-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.0 3383.0 1.0 0.00114 0.01712 259.62 2728.0 2728.0 2728.0 1.0 1.0 0.0 202.0 0.0 0.00342 0.05136 0.0 TPRETO-SP500-LORENA-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 449.0 1.0 0.000742 0.006448 11.34 1184.0 1392.0 1392.0 1.0 1.0 0.0 204.0 0.0 0.002226 0.01934 0.0 TPRETO-SP345-ITAPET-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 449.0 2.0 0.000742 0.006448 11.34 1184.0 1392.0 1392.0 1.0 1.0 0.0 204.0 0.0 0.002226 0.01934 0.0 TPRETO-SP345-ITAPET-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 464.0 3.0 0.001089 0.00973 17.073 912.0 1103.0 912.0 1.0 1.0 0.0 204.0 0.0 0.003267 0.02919 0.0 TPRETO-SP345-LESTE--S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 471.0 1.0 0.000922 0.008014 14.08 1184.0 1392.0 1184.0 1.0 1.0 0.0 204.0 0.0 0.002766 0.02404 0.0 TPRETO-SP345-BAIXAD-S 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
