BUS1 BUS2 BUS3 CI G_MAG B_MAG WI1 WI2 WI3 WI_V WI_A ARE OWN NAME BUS4 NAME2
38 107 44889 54 0.000 0.000 1 1 1 1.064528 -21.03258 251 0 GRAJA2SIN001-GR2T54-R 179 GR2T54-RJ000
44 107 178 52 0.000 0.000 1 1 1 1.064254 -20.90916 251 0 GRAJA1SIN001-GR1T52-R 110 GR1T52-RJ000
50 76 78 04 0.000 0.000 1 1 1 0.947191 -31.02573 201 0 TPRETOSIN001-TPRET4-S 81 TPRET4-SP000
53 52 0 01 0.000 0.000 1 1 0 0.000000 0.00000 252 0 GNA1G-UTE003-P.ACU--R  
54 52 0 01 0.000 0.000 1 1 0 0.000000 0.00000 252 0 GNA1V-UTE001-P.ACU--R  
56 65 41416 03 0.000 0.000 1 1 1 0.952135 -26.69982 201 0 IVAIP3-PR069-IVAIP3-P 59 IVAIP3-PR000
57 65 41415 02 0.000 0.000 1 1 1 1.096243 -26.75083 201 0 IVAIP2-PR069-IVAIP2-P 58 IVAIP2-PR000
60 61 43916 02 0.000 0.000 1 1 1 0.989223 -19.75127 201 0 F.IGUA-PR765-F.IG-2-P 43810 F.IG-2-PR000
60 61 43922 01 0.000 0.000 1 1 1 0.990345 -19.82717 201 0 F.IGUA-PR765-F.IG-1-P 43862 F.IG-1-PR000
60 61 43917 03 0.000 0.000 1 1 1 0.990469 -19.83555 201 0 F.IGUA-PR765-F.IG-3-P 43899 F.IG-3-PR000
60 61 43446 04 0.000 0.000 1 1 1 0.990291 -19.82357 201 0 F.IGUA-PR765-F.IG-4-P 43915 F.IG-4-PR000
60 61 43855 05 0.000 0.000 1 1 1 0.990525 -19.83933 201 0 F.IGUA-PR765-F.IG-5-P 43921 F.IG-5-PR000
65 66 67 01 0.000 0.000 1 1 1 1.046557 -26.75162 201 0 IVAIPO-PR765-IVAIP1-P 68 IVAIP1-PR000
76 77 79 03 0.000 0.000 1 1 1 0.890157 -25.55865 201 0 TPRETO-SP765-TPRET3-S 80 TPRET3-SP000
76 78 41513 05 0.000 0.000 1 1 1 0.910514 -30.99669 201 0 TPRETO-SP765-TPRAT5-S 41512 TPRAT5-SP000
76 82 41515 06 0.000 0.000 1 1 1 1.038712 -30.49262 201 0 TPRETO-SP765-TPRAT6-S 41514 TPRAT6-SP000
76 82 41517 07 0.000 0.000 1 1 1 1.036844 -30.39875 201 0 TPRETO-SP765-TPRAT7-S 41516 TPRAT7-SP000
